t_Android;t_unix;x;y;z;a
84682392651205;1701121642154;0.4343252;2.2585216;8.095798;3
84682412701205;1701121642227;0.4343252;2.2585216;8.095798;3
84682432751205;1701121642227;0.4343252;2.2585216;8.095798;3
84682452801205;1701121642228;0.4343252;2.2585216;8.095798;3
84682472851205;1701121642228;0.4343252;2.2585216;8.095798;3
84682492901205;1701121642277;0.4343252;2.2585216;8.095798;3
84682512951205;1701121642277;0.4343252;2.2585216;8.095798;3
84682533001205;1701121642310;0.4343252;2.2585216;8.095798;3
84682553051205;1701121642310;0.4343252;2.2585216;8.095798;3
84682573101205;1701121642341;0.4343252;2.2585216;8.095798;3
84682593151205;1701121642341;0.4343252;2.2585216;8.095798;3
84682613201205;1701121642387;0.4343252;2.2585216;8.095798;3
84682633251205;1701121642387;0.4343252;2.2585216;8.095798;3
84682653301205;1701121642421;0.4343252;2.2585216;8.095798;3
84682673351705;1701121642421;0.4343252;2.2585216;8.095798;3
84682693402205;1701121642461;0.4343252;2.2585216;8.095798;3
84682713452205;1701121642461;0.4343252;2.2585216;8.095798;3
84682733502205;1701121642505;0.4343252;2.2585216;8.095798;3
84682753552205;1701121642505;0.4343252;2.2585216;8.095798;3
84682773602205;1701121642541;0.4343252;2.2585216;8.095798;3
84682793652205;1701121642542;0.4343252;2.2585216;8.095798;3
84682813702205;1701121642592;0.4343252;2.2585216;8.095798;3
84682833767205;1701121642592;0.4343252;2.2585216;8.095798;3
84682853832205;1701121642621;0.4343252;2.2585216;8.095798;3
84682873867205;1701121642621;0.4343252;2.2585216;8.095798;3
84682893902205;1701121642665;0.4343252;2.2585216;8.095798;3
84682913952205;1701121642665;0.4343252;2.2585216;8.095798;3
84682934002205;1701121642701;0.4343252;2.2585216;8.095798;3
84682954052205;1701121642701;0.4343252;2.2585216;8.095798;3
84682974102205;1701121642741;0.4343252;2.2585216;8.095798;3
84682994152205;1701121642741;0.4343252;2.2585216;8.095798;3
84683014202205;1701121642784;0.4343252;2.2585216;8.095798;3
84683034252205;1701121642784;0.4343252;2.2585216;8.095798;3
84683054302205;1701121642822;0.4343252;2.2585216;8.095798;3
84683074367705;1701121642822;0.4343252;2.2585216;8.095798;3
84683094433205;1701121642862;0.4343252;2.2585216;8.095798;3
84683114483205;1701121642862;0.4343252;2.2585216;8.095798;3
84683134533205;1701121642903;0.4343252;2.2585216;8.095798;3
84683154583205;1701121642903;0.4343252;2.2585216;8.095798;3
