t_Android;t_unix;x;y;z;a
84193408830478;1701121153185;-5.7205772;-4.06046;17.994186;1
84193428880478;1701121153185;-5.7205772;-4.06046;17.994186;1
84193448930478;1701121153258;-5.7205772;-4.06046;17.994186;1
84193468980478;1701121153258;-5.7205772;-4.06046;17.994186;1
84193489030478;1701121153258;-5.7205772;-4.06046;17.994186;1
84193509080478;1701121153258;-5.7205772;-4.06046;17.994186;1
84193529130478;1701121153312;-5.7205772;-4.06046;17.994186;1
84193549180478;1701121153312;-5.7205772;-4.06046;17.994186;1
84193569230478;1701121153326;-5.7205772;-4.06046;17.994186;1
84193589280478;1701121153326;-5.7205772;-4.06046;17.994186;1
84193609330728;1701121153393;-5.7205772;-4.06046;17.994186;1
84193629381228;1701121153393;-5.7205772;-4.06046;17.994186;1
84193649431478;1701121153409;-5.7205772;-4.06046;17.994186;1
84193669481478;1701121153409;-5.7205772;-4.06046;17.994186;1
84193689523728;1701121153447;-5.7205772;-4.06046;17.994186;1
84193709558228;1701121153447;-5.7205772;-4.06046;17.994186;1
84193729600478;1701121153487;-5.7205772;-4.06046;17.994186;1
84193749650478;1701121153487;-5.7205772;-4.06046;17.994186;1
84193769700478;1701121153529;-5.7205772;-4.06046;17.994186;1
84193789750478;1701121153529;-5.7205772;-4.06046;17.994186;1
84193809800478;1701121153569;-5.7205772;-4.06046;17.994186;1
84193829850478;1701121153569;-5.7205772;-4.06046;17.994186;1
84193849900728;1701121153607;-5.7205772;-4.06046;17.994186;1
84193869951228;1701121153607;-5.7205772;-4.06046;17.994186;1
84193890001478;1701121153652;-5.7205772;-4.06046;17.994186;1
84193910051478;1701121153652;-5.7205772;-4.06046;17.994186;1
84193930101478;1701121153687;-5.7205772;-4.06046;17.994186;1
84193950151478;1701121153687;-5.7205772;-4.06046;17.994186;1
84193970201478;1701121153727;-5.7205772;-4.06046;17.994186;1
84193990251478;1701121153727;-5.7205772;-4.06046;17.994186;1
84194010301478;1701121153769;-5.7205772;-4.06046;17.994186;1
84194030351478;1701121153769;-5.7205772;-4.06046;17.994186;1
84194050401478;1701121153809;-5.7205772;-4.06046;17.994186;1
84194070451478;1701121153809;-5.7205772;-4.06046;17.994186;1
84194090501478;1701121153848;-5.7205772;-4.06046;17.994186;1
84194110551478;1701121153848;-5.7205772;-4.06046;17.994186;1
84194130601478;1701121153888;-5.7205772;-4.06046;17.994186;1
84194150651478;1701121153888;-5.7205772;-4.06046;17.994186;1
84194170693978;1701121153929;-5.7205772;-4.06046;17.994186;1
84194190728978;1701121153929;-5.7205772;-4.06046;17.994186;1
84194210771478;1701121153968;-5.7205772;-4.06046;17.994186;1
84194230821478;1701121153968;-5.7205772;-4.06046;17.994186;1
84194250871478;1701121154009;-5.7205772;-4.06046;17.994186;1
84194270921478;1701121154009;-5.7205772;-4.06046;17.994186;1
84194290971478;1701121154051;-5.7205772;-4.06046;17.994186;1
84194311021478;1701121154051;-5.7205772;-4.06046;17.994186;1
84194331071478;1701121154089;-5.7205772;-4.06046;17.994186;1
84194351121478;1701121154089;-5.7205772;-4.06046;17.994186;1
84194371171478;1701121154129;-5.7205772;-4.06046;17.994186;1
84194391221478;1701121154129;-5.7205772;-4.06046;17.994186;1
84194411271478;1701121154169;-5.7205772;-4.06046;17.994186;1
84194431321478;1701121154169;-5.7205772;-4.06046;17.994186;1
84194451371728;1701121154210;-5.7205772;-4.06046;17.994186;1
84194471422228;1701121154210;-5.7205772;-4.06046;17.994186;1
84194491472478;1701121154249;-5.7205772;-4.06046;17.994186;1
84194511522478;1701121154249;-5.7205772;-4.06046;17.994186;1
84194531572478;1701121154289;-5.7205772;-4.06046;17.994186;1
84194551622478;1701121154289;-5.7205772;-4.06046;17.994186;1
84194571672478;1701121154330;-5.7205772;-4.06046;17.994186;1
84194591722478;1701121154330;-5.7205772;-4.06046;17.994186;1
84194611772478;1701121154371;-5.7205772;-4.06046;17.994186;1
84194631822478;1701121154371;-5.7205772;-4.06046;17.994186;1
84194651864728;1701121154410;-5.7205772;-4.06046;17.994186;1
84194671899228;1701121154410;-5.7205772;-4.06046;17.994186;1
84194691941728;1701121154450;-5.7205772;-4.06046;17.994186;1
84194711992228;1701121154450;-5.7205772;-4.06046;17.994186;1
84194732042478;1701121154492;-5.7205772;-4.06046;17.994186;1
84194752092478;1701121154492;-5.7205772;-4.06046;17.994186;1
84194772142478;1701121154533;-5.7205772;-4.06046;17.994186;1
84194792192478;1701121154533;-5.7205772;-4.06046;17.994186;1
84194812242478;1701121154570;-5.7205772;-4.06046;17.994186;1
84194832292478;1701121154570;-5.7205772;-4.06046;17.994186;1
84194852342478;1701121154611;-5.7205772;-4.06046;17.994186;1
84194872392478;1701121154611;-5.7205772;-4.06046;17.994186;1
84194892442478;1701121154650;-5.7205772;-4.06046;17.994186;1
84194912492478;1701121154650;-5.7205772;-4.06046;17.994186;1
84194932542478;1701121154690;-5.7205772;-4.06046;17.994186;1
84194952592478;1701121154690;-5.7205772;-4.06046;17.994186;1
84194972634978;1701121154731;-5.7205772;-4.06046;17.994186;1
84194992669978;1701121154731;-5.7205772;-4.06046;17.994186;1
84195012719978;1701121154772;-5.7205772;-4.06046;17.994186;1
84195032784978;1701121154772;-5.7205772;-4.06046;17.994186;1
84195052842478;1701121154811;-5.7205772;-4.06046;17.994186;1
84195072892478;1701121154811;-5.7205772;-4.06046;17.994186;1
84195092942728;1701121154851;-5.7205772;-4.06046;17.994186;1
84195112993228;1701121154851;-5.7205772;-4.06046;17.994186;1
84195133035728;1701121154892;-5.7205772;-4.06046;17.994186;1
84195153070228;1701121154892;-5.7205772;-4.06046;17.994186;1
84195173112478;1701121154932;-5.7205772;-4.06046;17.994186;1
84195193162478;1701121154932;-5.7205772;-4.06046;17.994186;1
84195213212478;1701121154972;-5.7205772;-4.06046;17.994186;1
84195233262478;1701121154972;-5.7205772;-4.06046;17.994186;1
84195253312478;1701121155015;-5.7205772;-4.06046;17.994186;1
84195273362478;1701121155015;-5.7205772;-4.06046;17.994186;1
84195293412728;1701121155052;-5.7205772;-4.06046;17.994186;1
84195313463228;1701121155052;-5.7205772;-4.06046;17.994186;1
84195333513478;1701121155092;-5.7205772;-4.06046;17.994186;1
84195353563478;1701121155092;-5.7205772;-4.06046;17.994186;1
84195373620978;1701121155132;-5.7205772;-4.06046;17.994186;1
84195393685978;1701121155132;-5.7205772;-4.06046;17.994186;1
84195413728228;1701121155172;-5.7205772;-4.06046;17.994186;1
84195433747728;1701121155172;-5.7205772;-4.06046;17.994186;1
84195453790228;1701121155212;-5.7205772;-4.06046;17.994186;1
84195473855728;1701121155212;-5.7205772;-4.06046;17.994186;1
84195493913478;1701121155253;-5.7205772;-4.06046;17.994186;1
84195513963478;1701121155253;-5.7205772;-4.06046;17.994186;1
84195534013478;1701121155292;-5.7205772;-4.06046;17.994186;1
84195554063478;1701121155292;-5.7205772;-4.06046;17.994186;1
84195574105978;1701121155333;-5.7205772;-4.06046;17.994186;1
84195594140978;1701121155333;-5.7205772;-4.06046;17.994186;1
84195614190978;1701121155374;-5.7205772;-4.06046;17.994186;1
84195634255978;1701121155374;-5.7205772;-4.06046;17.994186;1
84195654305978;1701121155413;-5.7205772;-4.06046;17.994186;1
84195674340978;1701121155413;-5.7205772;-4.06046;17.994186;1
84195694383478;1701121155455;-5.7205772;-4.06046;17.994186;1
84195714433478;1701121155455;-5.7205772;-4.06046;17.994186;1
84195734483478;1701121155495;-5.7205772;-4.06046;17.994186;1
84195754533478;1701121155495;-5.7205772;-4.06046;17.994186;1
84195774583478;1701121155533;-5.7205772;-4.06046;17.994186;1
84195794633478;1701121155533;-5.7205772;-4.06046;17.994186;1
84195814683478;1701121155573;-5.7205772;-4.06046;17.994186;1
84195834733478;1701121155573;-5.7205772;-4.06046;17.994186;1
84195854783478;1701121155613;-5.7205772;-4.06046;17.994186;1
84195874833478;1701121155613;-5.7205772;-4.06046;17.994186;1
84195894883478;1701121155653;-5.7205772;-4.06046;17.994186;1
84195914933478;1701121155653;-5.7205772;-4.06046;17.994186;1
84195934983728;1701121155693;-5.7205772;-4.06046;17.994186;1
84195955034228;1701121155693;-5.7205772;-4.06046;17.994186;1
84195975076728;1701121155733;-5.7205772;-4.06046;17.994186;1
84195995111228;1701121155733;-5.7205772;-4.06046;17.994186;1
84196015161228;1701121155775;-5.7205772;-4.06046;17.994186;1
84196035226728;1701121155775;-5.7205772;-4.06046;17.994186;1
84196055284478;1701121155815;-5.7205772;-4.06046;17.994186;1
84196075334478;1701121155815;-5.7205772;-4.06046;17.994186;1
84196095384478;1701121155854;-5.7205772;-4.06046;17.994186;1
84196115434478;1701121155854;-5.7205772;-4.06046;17.994186;1
84196135484478;1701121155894;-5.7205772;-4.06046;17.994186;1
84196155534478;1701121155894;-5.7205772;-4.06046;17.994186;1
84196175576978;1701121155935;-5.7205772;-4.06046;17.994186;1
84196195611978;1701121155935;-5.7205772;-4.06046;17.994186;1
84196215654478;1701121155976;-5.7205772;-4.06046;17.994186;1
