t_Android;t_unix;x;y;z;a
84193418855478;1701121153185;-0.7994699;-1.5783231;-2.2666154;3
84193438905478;1701121153258;-0.7994699;-1.5783231;-2.2666154;3
84193458955478;1701121153258;-0.7994699;-1.5783231;-2.2666154;3
84193479005478;1701121153258;-0.7994699;-1.5783231;-2.2666154;3
84193499055478;1701121153258;-0.7994699;-1.5783231;-2.2666154;3
84193519105478;1701121153312;-0.7994699;-1.5783231;-2.2666154;3
84193539155478;1701121153312;-0.7994699;-1.5783231;-2.2666154;3
84193559205478;1701121153327;-0.7994699;-1.5783231;-2.2666154;3
84193579255478;1701121153327;-0.7994699;-1.5783231;-2.2666154;3
84193599305478;1701121153393;-0.7994699;-1.5783231;-2.2666154;3
84193619355978;1701121153393;-0.7994699;-1.5783231;-2.2666154;3
84193639406478;1701121153409;-0.7994699;-1.5783231;-2.2666154;3
84193659456478;1701121153409;-0.7994699;-1.5783231;-2.2666154;3
84193679506478;1701121153447;-0.7994699;-1.5783231;-2.2666154;3
84193699540978;1701121153447;-0.7994699;-1.5783231;-2.2666154;3
84193719575478;1701121153487;-0.7994699;-1.5783231;-2.2666154;3
84193739625478;1701121153487;-0.7994699;-1.5783231;-2.2666154;3
84193759675478;1701121153529;-0.7994699;-1.5783231;-2.2666154;3
84193779725478;1701121153529;-0.7994699;-1.5783231;-2.2666154;3
84193799775478;1701121153569;-0.7994699;-1.5783231;-2.2666154;3
84193819825478;1701121153569;-0.7994699;-1.5783231;-2.2666154;3
84193839875478;1701121153607;-0.7994699;-1.5783231;-2.2666154;3
84193859925978;1701121153607;-0.7994699;-1.5783231;-2.2666154;3
84193879976478;1701121153652;-0.7994699;-1.5783231;-2.2666154;3
84193900026478;1701121153652;-0.7994699;-1.5783231;-2.2666154;3
84193920076478;1701121153687;-0.7994699;-1.5783231;-2.2666154;3
84193940126478;1701121153687;-0.7994699;-1.5783231;-2.2666154;3
84193960176478;1701121153727;-0.7994699;-1.5783231;-2.2666154;3
84193980226478;1701121153727;-0.7994699;-1.5783231;-2.2666154;3
84194000276478;1701121153769;-0.7994699;-1.5783231;-2.2666154;3
84194020326478;1701121153769;-0.7994699;-1.5783231;-2.2666154;3
84194040376478;1701121153809;-0.7994699;-1.5783231;-2.2666154;3
84194060426478;1701121153809;-0.7994699;-1.5783231;-2.2666154;3
84194080476478;1701121153848;-0.7994699;-1.5783231;-2.2666154;3
84194100526478;1701121153848;-0.7994699;-1.5783231;-2.2666154;3
84194120576478;1701121153888;-0.7994699;-1.5783231;-2.2666154;3
84194140626478;1701121153888;-0.7994699;-1.5783231;-2.2666154;3
84194160676478;1701121153929;-0.7994699;-1.5783231;-2.2666154;3
84194180711478;1701121153929;-0.7994699;-1.5783231;-2.2666154;3
84194200746478;1701121153969;-0.7994699;-1.5783231;-2.2666154;3
84194220796478;1701121153969;-0.7994699;-1.5783231;-2.2666154;3
84194240846478;1701121154009;-0.7994699;-1.5783231;-2.2666154;3
84194260896478;1701121154009;-0.7994699;-1.5783231;-2.2666154;3
84194280946478;1701121154051;-0.7994699;-1.5783231;-2.2666154;3
84194300996478;1701121154051;-0.7994699;-1.5783231;-2.2666154;3
84194321046478;1701121154089;-0.7994699;-1.5783231;-2.2666154;3
84194341096478;1701121154089;-0.7994699;-1.5783231;-2.2666154;3
84194361146478;1701121154129;-0.7994699;-1.5783231;-2.2666154;3
84194381196478;1701121154129;-0.7994699;-1.5783231;-2.2666154;3
84194401246478;1701121154169;-0.7994699;-1.5783231;-2.2666154;3
84194421296478;1701121154169;-0.7994699;-1.5783231;-2.2666154;3
84194441346478;1701121154210;-0.7994699;-1.5783231;-2.2666154;3
84194461396978;1701121154210;-0.7994699;-1.5783231;-2.2666154;3
84194481447478;1701121154249;-0.7994699;-1.5783231;-2.2666154;3
84194501497478;1701121154249;-0.7994699;-1.5783231;-2.2666154;3
84194521547478;1701121154289;-0.7994699;-1.5783231;-2.2666154;3
84194541597478;1701121154289;-0.7994699;-1.5783231;-2.2666154;3
84194561647478;1701121154330;-0.7994699;-1.5783231;-2.2666154;3
84194581697478;1701121154330;-0.7994699;-1.5783231;-2.2666154;3
84194601747478;1701121154371;-0.7994699;-1.5783231;-2.2666154;3
84194621797478;1701121154371;-0.7994699;-1.5783231;-2.2666154;3
84194641847478;1701121154410;-0.7994699;-1.5783231;-2.2666154;3
84194661881978;1701121154410;-0.7994699;-1.5783231;-2.2666154;3
84194681916478;1701121154450;-0.7994699;-1.5783231;-2.2666154;3
84194701966978;1701121154450;-0.7994699;-1.5783231;-2.2666154;3
84194722017478;1701121154492;-0.7994699;-1.5783231;-2.2666154;3
84194742067478;1701121154492;-0.7994699;-1.5783231;-2.2666154;3
84194762117478;1701121154533;-0.7994699;-1.5783231;-2.2666154;3
84194782167478;1701121154533;-0.7994699;-1.5783231;-2.2666154;3
84194802217478;1701121154570;-0.7994699;-1.5783231;-2.2666154;3
84194822267478;1701121154570;-0.7994699;-1.5783231;-2.2666154;3
84194842317478;1701121154611;-0.7994699;-1.5783231;-2.2666154;3
84194862367478;1701121154611;-0.7994699;-1.5783231;-2.2666154;3
84194882417478;1701121154650;-0.7994699;-1.5783231;-2.2666154;3
84194902467478;1701121154650;-0.7994699;-1.5783231;-2.2666154;3
84194922517478;1701121154690;-0.7994699;-1.5783231;-2.2666154;3
84194942567478;1701121154690;-0.7994699;-1.5783231;-2.2666154;3
84194962617478;1701121154731;-0.7994699;-1.5783231;-2.2666154;3
84194982652478;1701121154731;-0.7994699;-1.5783231;-2.2666154;3
84195002687478;1701121154772;-0.7994699;-1.5783231;-2.2666154;3
84195022752478;1701121154772;-0.7994699;-1.5783231;-2.2666154;3
84195042817478;1701121154811;-0.7994699;-1.5783231;-2.2666154;3
84195062867478;1701121154811;-0.7994699;-1.5783231;-2.2666154;3
84195082917478;1701121154851;-0.7994699;-1.5783231;-2.2666154;3
84195102967978;1701121154851;-0.7994699;-1.5783231;-2.2666154;3
84195123018478;1701121154892;-0.7994699;-1.5783231;-2.2666154;3
84195143052978;1701121154892;-0.7994699;-1.5783231;-2.2666154;3
84195163087478;1701121154932;-0.7994699;-1.5783231;-2.2666154;3
84195183137478;1701121154932;-0.7994699;-1.5783231;-2.2666154;3
84195203187478;1701121154972;-0.7994699;-1.5783231;-2.2666154;3
84195223237478;1701121154972;-0.7994699;-1.5783231;-2.2666154;3
84195243287478;1701121155015;-0.7994699;-1.5783231;-2.2666154;3
84195263337478;1701121155015;-0.7994699;-1.5783231;-2.2666154;3
84195283387478;1701121155052;-0.7994699;-1.5783231;-2.2666154;3
84195303437978;1701121155052;-0.7994699;-1.5783231;-2.2666154;3
84195323488478;1701121155092;-0.7994699;-1.5783231;-2.2666154;3
84195343538478;1701121155092;-0.7994699;-1.5783231;-2.2666154;3
84195363588478;1701121155133;-0.7994699;-1.5783231;-2.2666154;3
84195383653478;1701121155133;-0.7994699;-1.5783231;-2.2666154;3
84195403718478;1701121155172;-0.7994699;-1.5783231;-2.2666154;3
84195423737978;1701121155172;-0.7994699;-1.5783231;-2.2666154;3
84195443757478;1701121155213;-0.7994699;-1.5783231;-2.2666154;3
84195463822978;1701121155213;-0.7994699;-1.5783231;-2.2666154;3
84195483888478;1701121155253;-0.7994699;-1.5783231;-2.2666154;3
84195503938478;1701121155253;-0.7994699;-1.5783231;-2.2666154;3
84195523988478;1701121155293;-0.7994699;-1.5783231;-2.2666154;3
84195544038478;1701121155293;-0.7994699;-1.5783231;-2.2666154;3
84195564088478;1701121155333;-0.7994699;-1.5783231;-2.2666154;3
84195584123478;1701121155333;-0.7994699;-1.5783231;-2.2666154;3
84195604158478;1701121155374;-0.7994699;-1.5783231;-2.2666154;3
84195624223478;1701121155374;-0.7994699;-1.5783231;-2.2666154;3
84195644288478;1701121155413;-0.7994699;-1.5783231;-2.2666154;3
84195664323478;1701121155413;-0.7994699;-1.5783231;-2.2666154;3
84195684358478;1701121155455;-0.7994699;-1.5783231;-2.2666154;3
84195704408478;1701121155455;-0.7994699;-1.5783231;-2.2666154;3
84195724458478;1701121155495;-0.7994699;-1.5783231;-2.2666154;3
84195744508478;1701121155495;-0.7994699;-1.5783231;-2.2666154;3
84195764558478;1701121155533;-0.7994699;-1.5783231;-2.2666154;3
84195784608478;1701121155533;-0.7994699;-1.5783231;-2.2666154;3
84195804658478;1701121155573;-0.7994699;-1.5783231;-2.2666154;3
84195824708478;1701121155573;-0.7994699;-1.5783231;-2.2666154;3
84195844758478;1701121155613;-0.7994699;-1.5783231;-2.2666154;3
84195864808478;1701121155613;-0.7994699;-1.5783231;-2.2666154;3
84195884858478;1701121155653;-0.7994699;-1.5783231;-2.2666154;3
84195904908478;1701121155653;-0.7994699;-1.5783231;-2.2666154;3
84195924958478;1701121155693;-0.7994699;-1.5783231;-2.2666154;3
84195945008978;1701121155693;-0.7994699;-1.5783231;-2.2666154;3
84195965059478;1701121155734;-0.7994699;-1.5783231;-2.2666154;3
84195985093978;1701121155734;-0.7994699;-1.5783231;-2.2666154;3
84196005128478;1701121155775;-0.7994699;-1.5783231;-2.2666154;3
84196025193978;1701121155775;-0.7994699;-1.5783231;-2.2666154;3
84196045259478;1701121155815;-0.7994699;-1.5783231;-2.2666154;3
84196065309478;1701121155815;-0.7994699;-1.5783231;-2.2666154;3
84196085359478;1701121155854;-0.7994699;-1.5783231;-2.2666154;3
84196105409478;1701121155854;-0.7994699;-1.5783231;-2.2666154;3
84196125459478;1701121155894;-0.7994699;-1.5783231;-2.2666154;3
84196145509478;1701121155894;-0.7994699;-1.5783231;-2.2666154;3
84196165559478;1701121155935;-0.7994699;-1.5783231;-2.2666154;3
84196185594478;1701121155935;-0.7994699;-1.5783231;-2.2666154;3
84196205629478;1701121155976;-0.7994699;-1.5783231;-2.2666154;3
84196225679478;1701121155976;-0.7994699;-1.5783231;-2.2666154;3
84196245729478;1701121156014;-0.7994699;-1.5783231;-2.2666154;3
84196265779478;1701121156014;-0.7994699;-1.5783231;-2.2666154;3
84196285829478;1701121156054;-0.7994699;-1.5783231;-2.2666154;3
84196305879478;1701121156054;-0.7994699;-1.5783231;-2.2666154;3
84196325929478;1701121156095;-0.7994699;-1.5783231;-2.2666154;3
84196345979478;1701121156095;-0.7994699;-1.5783231;-2.2666154;3
84196366029478;1701121156135;-0.7994699;-1.5783231;-2.2666154;3
84196386079478;1701121156135;-0.7994699;-1.5783231;-2.2666154;3
84196406129478;1701121156175;-0.7994699;-1.5783231;-2.2666154;3
84196426179478;1701121156175;-0.7994699;-1.5783231;-2.2666154;3
84196446229478;1701121156216;-0.7994699;-1.5783231;-2.2666154;3
84196466279478;1701121156216;-0.7994699;-1.5783231;-2.2666154;3
84196486329478;1701121156255;-0.7994699;-1.5783231;-2.2666154;3
84196506379478;1701121156255;-0.7994699;-1.5783231;-2.2666154;3
84196526429478;1701121156295;-0.7994699;-1.5783231;-2.2666154;3
84196546479978;1701121156295;-0.7994699;-1.5783231;-2.2666154;3
84196566530478;1701121156335;-0.7994699;-1.5783231;-2.2666154;3
84196586564978;1701121156335;-0.7994699;-1.5783231;-2.2666154;3
84196606599478;1701121156377;-0.7994699;-1.5783231;-2.2666154;3
84196626664978;1701121156377;-0.7994699;-1.5783231;-2.2666154;3
84196646730478;1701121156417;-0.7994699;-1.5783231;-2.2666154;3
84196666764978;1701121156417;-0.7994699;-1.5783231;-2.2666154;3
84196686799478;1701121156458;-0.7994699;-1.5783231;-2.2666154;3
84196706849478;1701121156458;-0.7994699;-1.5783231;-2.2666154;3
84196726899478;1701121156495;-0.7994699;-1.5783231;-2.2666154;3
84196746949478;1701121156495;-0.7994699;-1.5783231;-2.2666154;3
84196766999478;1701121156536;-0.7994699;-1.5783231;-2.2666154;3
84196787049978;1701121156536;-0.7994699;-1.5783231;-2.2666154;3
84196807100478;1701121156576;-0.7994699;-1.5783231;-2.2666154;3
