t_Android,t_unix,x,y,z,a
84963760535114,1701121923540,-3.2507637,6.453616,3.0974483,1
84963780585114,1701121923540,-3.2507637,6.453616,3.0974483,1
84963800635114,1701121923625,-3.2507637,6.453616,3.0974483,1
84963820685114,1701121923625,-4.371882,6.6859846,5.710995,1
84963840735114,1701121923625,-4.338344,6.6859846,5.710995,1
84963860800614,1701121923625,-4.338344,6.6859846,5.710995,1
84963880866114,1701121923683,-4.338344,6.6859846,5.710995,1
84963900916114,1701121923683,-4.338344,6.6859846,5.710995,1
84963920966114,1701121923688,-4.338344,6.6859846,5.710995,1
84963941016114,1701121923688,-4.338344,6.6859846,5.710995,1
84963961066114,1701121923735,-4.338344,6.6859846,5.710995,1
84963981116114,1701121923735,-4.338344,6.6859846,5.710995,1
84964001166114,1701121923771,-4.338344,6.6859846,5.710995,1
84964021216114,1701121923771,-4.338344,6.6859846,5.710995,1
84964041266114,1701121923808,-4.338344,6.6859846,5.710995,1
84964061316614,1701121923808,-4.338344,6.6859846,5.710995,1
84964081367114,1701121923851,-4.338344,6.6859846,5.710995,1
84964101417114,1701121923851,-4.338344,6.6859846,5.710995,1
84964121467114,1701121923889,-4.338344,6.6859846,5.710995,1
84964141517114,1701121923889,-4.338344,6.6859846,5.710995,1
84964161567114,1701121923932,-4.338344,6.6859846,5.710995,1
84964181617114,1701121923932,-4.338344,6.6859846,5.710995,1
84964201667114,1701121923972,-4.338344,6.6859846,5.710995,1
84964221717114,1701121923972,-4.338344,6.6859846,5.710995,1
84964241767114,1701121924009,-4.338344,6.6859846,5.710995,1
84964261817114,1701121924009,-4.338344,6.6859846,5.710995,1
84964281867114,1701121924049,-4.338344,6.6859846,5.710995,1
84964301917114,1701121924049,-4.338344,6.6859846,5.710995,1
84964321967114,1701121924089,-4.338344,6.6859846,5.710995,1
84964342017114,1701121924089,-4.338344,6.6859846,5.710995,1
84964362067114,1701121924132,-4.338344,6.6859846,5.710995,1
84964382117114,1701121924132,-4.338344,6.6859846,5.710995,1
84964402167114,1701121924170,-4.338344,6.6859846,5.710995,1
84964422217114,1701121924170,-4.338344,6.6859846,5.710995,1
84964442267114,1701121924210,-4.338344,6.6859846,5.710995,1
84964462317114,1701121924210,-4.338344,6.6859846,5.710995,1
84964482367114,1701121924250,-4.338344,6.6859846,5.710995,1
84964502417614,1701121924250,-4.338344,6.6859846,5.710995,1
84964522468114,1701121924290,-4.338344,6.6859846,5.710995,1
84964542518114,1701121924290,-4.338344,6.6859846,5.710995,1
84964562568114,1701121924331,-4.338344,6.6859846,5.710995,1
84964582618114,1701121924331,-4.338344,6.6859846,5.710995,1
84964602668114,1701121924371,-4.338344,6.6859846,5.710995,1
84964622718114,1701121924371,-4.338344,6.6859846,5.710995,1
84964642768114,1701121924414,-4.338344,6.6859846,5.710995,1
84964662818114,1701121924414,-4.338344,6.6859846,5.710995,1
84964682868114,1701121924451,-4.338344,6.6859846,5.710995,1
84964702918114,1701121924451,-4.338344,6.6859846,5.710995,1
84964722968114,1701121924491,-4.338344,6.6859846,5.710995,1
84964743033614,1701121924491,-4.338344,6.6859846,5.710995,1
84964763099114,1701121924531,-4.338344,6.6859846,5.710995,1
84964783149114,1701121924531,-4.338344,6.6859846,5.710995,1
84964803199114,1701121924571,-4.338344,6.6859846,5.710995,1
84964823249114,1701121924571,-4.338344,6.6859846,5.710995,1
84964843299114,1701121924611,-4.338344,6.6859846,5.710995,1
84964863349114,1701121924611,-4.338344,6.6859846,5.710995,1
84964883399114,1701121924651,-4.338344,6.6859846,5.710995,1
84964903449114,1701121924651,-4.338344,6.6859846,5.710995,1
84964923499114,1701121924691,-4.338344,6.6859846,5.710995,1
84964943549114,1701121924691,-4.338344,6.6859846,5.710995,1
84964963599114,1701121924732,-4.338344,6.6859846,5.710995,1
84964983649114,1701121924732,-4.338344,6.6859846,5.710995,1
84965003699114,1701121924771,-4.338344,6.6859846,5.710995,1
84965023749114,1701121924771,-4.338344,6.6859846,5.710995,1
84965043799114,1701121924814,-4.338344,6.6859846,5.710995,1
