t_Android,t_unix,x,y,z,a
84963780585114,1701121923540,0.46486846,-3.932903,-2.1210768,3
84963800635114,1701121923625,0.46486846,-3.932903,-2.1210768,3
84963820685114,1701121923625,0.46486846,-3.932903,-2.1210768,3
84963840735114,1701121923625,0.46486846,-3.932903,-2.1210768,3
84963860800614,1701121923625,0.46486846,-3.932903,-2.1210768,3
84963880866114,1701121923683,0.46486846,-3.932903,-2.1210768,3
84963900916114,1701121923683,0.46486846,-3.932903,-2.1210768,3
84963920966114,1701121923688,0.46486846,-3.932903,-2.1210768,3
84963941016114,1701121923688,0.46486846,-3.932903,-2.1210768,3
84963961066114,1701121923735,0.46486846,-3.932903,-2.1210768,3
84963981116114,1701121923735,0.46486846,-3.932903,-2.1210768,3
84964001166114,1701121923771,0.46486846,-3.932903,-2.1210768,3
84964021216114,1701121923771,0.46486846,-3.932903,-2.1210768,3
84964041266114,1701121923808,0.46486846,-3.932903,-2.1210768,3
84964061316614,1701121923808,0.46486846,-3.932903,-2.1210768,3
84964081367114,1701121923851,0.46486846,-3.932903,-2.1210768,3
84964101417114,1701121923851,0.46486846,-3.932903,-2.1210768,3
84964121467114,1701121923889,0.46486846,-3.932903,-2.1210768,3
84964141517114,1701121923889,0.46486846,-3.932903,-2.1210768,3
84964161567114,1701121923933,0.46486846,-3.932903,-2.1210768,3
84964181617114,1701121923933,0.46486846,-3.932903,-2.1210768,3
84964201667114,1701121923972,0.46486846,-3.932903,-2.1210768,3
84964221717114,1701121923972,0.46486846,-3.932903,-2.1210768,3
84964241767114,1701121924009,0.46486846,-3.932903,-2.1210768,3
84964261817114,1701121924009,0.46486846,-3.932903,-2.1210768,3
84964281867114,1701121924049,0.46486846,-3.932903,-2.1210768,3
84964301917114,1701121924049,0.46486846,-3.932903,-2.1210768,3
84964321967114,1701121924089,0.46486846,-3.932903,-2.1210768,3
84964342017114,1701121924089,0.46486846,-3.932903,-2.1210768,3
84964362067114,1701121924132,0.46486846,-3.932903,-2.1210768,3
84964382117114,1701121924132,0.46486846,-3.932903,-2.1210768,3
84964402167114,1701121924170,0.46486846,-3.932903,-2.1210768,3
84964422217114,1701121924170,0.46486846,-3.932903,-2.1210768,3
84964442267114,1701121924210,0.46486846,-3.932903,-2.1210768,3
84964462317114,1701121924210,0.46486846,-3.932903,-2.1210768,3
84964482367114,1701121924250,0.46486846,-3.932903,-2.1210768,3
84964502417614,1701121924250,0.46486846,-3.932903,-2.1210768,3
84964522468114,1701121924290,0.46486846,-3.932903,-2.1210768,3
84964542518114,1701121924290,0.46486846,-3.932903,-2.1210768,3
84964562568114,1701121924332,0.46486846,-3.932903,-2.1210768,3
84964582618114,1701121924332,0.46486846,-3.932903,-2.1210768,3
84964602668114,1701121924371,0.46486846,-3.932903,-2.1210768,3
84964622718114,1701121924371,0.46486846,-3.932903,-2.1210768,3
84964642768114,1701121924414,0.46486846,-3.932903,-2.1210768,3
84964662818114,1701121924414,0.46486846,-3.932903,-2.1210768,3
84964682868114,1701121924451,0.46486846,-3.932903,-2.1210768,3
84964702918114,1701121924451,0.46486846,-3.932903,-2.1210768,3
84964722968114,1701121924491,0.46486846,-3.932903,-2.1210768,3
84964743033614,1701121924491,0.46486846,-3.932903,-2.1210768,3
84964763099114,1701121924531,0.46486846,-3.932903,-2.1210768,3
84964783149114,1701121924531,0.46486846,-3.932903,-2.1210768,3
84964803199114,1701121924571,0.46486846,-3.932903,-2.1210768,3
84964823249114,1701121924571,0.46486846,-3.932903,-2.1210768,3
84964843299114,1701121924611,0.46486846,-3.932903,-2.1210768,3
84964863349114,1701121924611,0.46486846,-3.932903,-2.1210768,3
84964883399114,1701121924651,0.46486846,-3.932903,-2.1210768,3
84964903449114,1701121924651,0.46486846,-3.932903,-2.1210768,3
84964923499114,1701121924691,0.46486846,-3.932903,-2.1210768,3
84964943549114,1701121924691,0.46486846,-3.932903,-2.1210768,3
84964963599114,1701121924732,0.46486846,-3.932903,-2.1210768,3
84964983649114,1701121924732,0.46486846,-3.932903,-2.1210768,3
84965003699114,1701121924772,0.46486846,-3.932903,-2.1210768,3
84965023749114,1701121924772,0.46486846,-3.932903,-2.1210768,3
84965043799114,1701121924814,0.46486846,-3.932903,-2.1210768,3
84965063849114,1701121924814,0.46486846,-3.932903,-2.1210768,3
84965083899114,1701121924852,0.46486846,-3.932903,-2.1210768,3
84965103949614,1701121924852,0.46486846,-3.932903,-2.1210768,3
84965124000114,1701121924895,0.46486846,-3.932903,-2.1210768,3
84965144050114,1701121924895,0.46486846,-3.932903,-2.1210768,3
84965164100114,1701121924932,0.46486846,-3.932903,-2.1210768,3
84965184150114,1701121924932,0.46486846,-3.932903,-2.1210768,3
84965204200114,1701121924972,0.46486846,-3.932903,-2.1210768,3
84965224250114,1701121924972,0.46486846,-3.932903,-2.1210768,3
84965244300114,1701121925012,0.46486846,-3.932903,-2.1210768,3
84965264350114,1701121925012,0.46486846,-3.932903,-2.1210768,3
84965284400114,1701121925052,0.46486846,-3.932903,-2.1210768,3
84965304450114,1701121925052,0.46486846,-3.932903,-2.1210768,3
84965324500114,1701121925092,0.46486846,-3.932903,-2.1210768,3
84965344550114,1701121925092,0.46486846,-3.932903,-2.1210768,3
84965364600114,1701121925136,0.46486846,-3.932903,-2.1210768,3
84965384650114,1701121925136,0.46486846,-3.932903,-2.1210768,3
84965404700114,1701121925172,0.46486846,-3.932903,-2.1210768,3
84965424750114,1701121925172,0.46486846,-3.932903,-2.1210768,3
84965444800114,1701121925213,0.46486846,-3.932903,-2.1210768,3
84965464850114,1701121925213,0.46486846,-3.932903,-2.1210768,3
84965484900114,1701121925254,0.46486846,-3.932903,-2.1210768,3
84965504965614,1701121925254,0.46486846,-3.932903,-2.1210768,3
84965525031114,1701121925294,0.46486846,-3.932903,-2.1210768,3
84965545081114,1701121925294,0.46486846,-3.932903,-2.1210768,3
84965565131114,1701121925334,0.46486846,-3.932903,-2.1210768,3
84965585181114,1701121925334,0.46486846,-3.932903,-2.1210768,3
84965605231114,1701121925379,0.46486846,-3.932903,-2.1210768,3
84965625281114,1701121925379,0.46486846,-3.932903,-2.1210768,3
84965645331114,1701121925415,0.46486846,-3.932903,-2.1210768,3
84965665381114,1701121925415,0.46486846,-3.932903,-2.1210768,3
84965685431114,1701121925454,0.46486846,-3.932903,-2.1210768,3
84965705481614,1701121925454,0.46486846,-3.932903,-2.1210768,3
84965725532114,1701121925494,0.46486846,-3.932903,-2.1210768,3
84965745582114,1701121925494,0.46486846,-3.932903,-2.1210768,3
84965765632114,1701121925535,0.46486846,-3.932903,-2.1210768,3
84965785682114,1701121925535,0.46486846,-3.932903,-2.1210768,3
84965805732114,1701121925574,0.46486846,-3.932903,-2.1210768,3
84965825782114,1701121925574,0.46486846,-3.932903,-2.1210768,3
84965845832114,1701121925615,0.46486846,-3.932903,-2.1210768,3
84965865882114,1701121925615,0.46486846,-3.932903,-2.1210768,3
84965885932114,1701121925654,0.46486846,-3.932903,-2.1210768,3
84965905982114,1701121925654,0.46486846,-3.932903,-2.1210768,3
84965926032114,1701121925695,0.46486846,-3.932903,-2.1210768,3
84965946082114,1701121925695,0.46486846,-3.932903,-2.1210768,3
84965966132114,1701121925735,0.46486846,-3.932903,-2.1210768,3
84965986182114,1701121925735,0.46486846,-3.932903,-2.1210768,3
84966006232114,1701121925775,0.46486846,-3.932903,-2.1210768,3
84966026282114,1701121925775,0.46486846,-3.932903,-2.1210768,3
84966046332114,1701121925817,0.46486846,-3.932903,-2.1210768,3
84966066382114,1701121925817,0.46486846,-3.932903,-2.1210768,3
84966086432114,1701121925858,0.46486846,-3.932903,-2.1210768,3
84966106482614,1701121925858,0.46486846,-3.932903,-2.1210768,3
84966126533114,1701121925895,0.46486846,-3.932903,-2.1210768,3
84966146583114,1701121925895,0.46486846,-3.932903,-2.1210768,3
